,filenanes,index,title
0,3/9/3/1/39315/39315.txt,39315,"Punch, or the London Charivari, Vol. 93, Nov. 11, 1887, by Various"
1,8/6/863/863-0.txt,863,"The Mysterious Affair at Styles, by Agatha Christie"
2,3/1/4/3/31432/31432-0.txt,31432,"Histoire litt?ire d'Italie (1/9), by Pierre-Louis Ginguen?"
3,2/6/2/2621/2621.txt,2621,"The Home Book of Verse, Vol. 3, by Burton Egbert Stevenson"
4,2/8/9/2/28927/28927-8.txt,28927,"La bodega, by Vicente Blasco Ib?z"
5,4/3/0/0/43004/43004-8.txt,43004,"La p̻cheuse d'̢mes, by Ritter von Leopold Sacher-Masoch"
6,5/0/7/1/50711/50711-8.txt,50711,"Salliman oikkuja, by Santeri Alkio"
7,3/1/7/7/31770/31770.txt,31770,"The Struggle for Missouri, by John McElroy"
8,3/8/9/0/38901/38901.txt,38901,"Twelfth Night, by William Shakspeare and J. P. Kemble"
9,4/2/2/4228/4228.txt,4228,"Giordano Bruno, by Walter Pater"
10,4/8/1/9/48195/48195-8.txt,48195,"A Report upon the Mollusk Fisheries of Massachusetts,"
11,4/0/5/4056/4056.txt,4056,"Two Festivals, Eliza Lee Cabot Follen"
12,2/7/6/9/27699/27699.txt,27699,"McClure's Magazine, Vol 31, No 2, June 1908, by Various"
13,2/7/7/7/27778/27778.txt,27778,"Outlines of Dairy Bacteriology, 8th edition, by H. L. Russell"
14,3/4/0/5/34054/34054-8.txt,34054,"Sipolan Aapon kosioretki, by Jussi"
15,1/6/3/8/16386/16386-8.txt,16386,"Juan Tamad, by Anonymous"
16,2/4/7/3/24731/24731.txt,24731,"The Tale of Grunty Pig, by Arthur Scott Bailey"
17,3/2/4/2/32423/32423.txt,32423,"Encyclopaedia Britannica, 11th Edition, Volume 7, Slice 6, by Various"
18,5/2/0/3/52032/52032-0.txt,52032,"A Dissertation on the Books of Origen against Celsus,"
19,3/5/6/7/35678/35678.txt,35678,"France, by Gordon Cochrane Home"
20,4/8/7/0/48700/48700-0.txt,48700,"On Cambrian and Cumbrian Hills, by Henry Stephens Salt"
21,4/4/6/6/44660/44660.txt,44660,"Punch, or the London Charivari, Vol. 109, July 13, 1895, by Various"
22,2/9/0/2/29025/29025.txt,29025,Roman Catholicism in Spain by Anonymous
23,3/2/4/4/32445/32445.txt,32445,"The Pain and Sorrow of Evil Marriage, by Wynkyn de Worde"
24,3/0/2/8/30281/30281-8.txt,30281,"Die R?erbande, by Leonhard Frank"
